country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_oil_co2,share_global_other_co2,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Myanmar,2018,MMR,53708316,3.18E+11,1.588,0.03,32.68,7.912,31.95,0.609,0.103,0.179,2.473,0.046,,,,14.115,539.118,43.325,,144.591,331.701,,3405.461,0.576,,,9.429,0.176,2.386,4.471,76.43,1.423,26.33,0.49,19.191,0.357,,,182.902,0.1,0.09,0.02,0.04,0.03,0.01,,0.06,0.06,,,0.13,0.16,,240.11,128.14,,
Philippines,2010,PHL,93966784,5.61E+11,6.056,0.064,82.953,6.461,8.45,0.883,0.148,0.245,28.231,0.3,105.042,1.118,0.187,148.275,2228.573,307.299,,53.978,1719.021,,3628.066,0.607,,,7.068,0.075,1.68,1.708,60.99,0.649,12.86,0.137,41.597,0.443,,,340.918,0.49,0.25,0.2,0.52,0.17,0.05,,0.03,0.36,,,0.11,0.37,,160.48,157.9,22.089,26.63
Philippines,2011,PHL,95570048,5.86E+11,6.114,0.064,83.743,0.79,0.95,0.876,0.143,0.242,31.017,0.324,107.631,1.126,0.184,154.388,2312.315,338.316,,61.607,1758.004,,3640.064,0.593,,,7.629,0.08,1.672,1.698,62.14,0.65,12.21,0.128,38.983,0.408,,,347.881,0.46,0.24,0.21,0.52,0.17,0.05,,0.03,0.36,,,0.12,0.34,,162.25,159.81,23.889,28.53
Philippines,2012,PHL,97212640,6.26E+11,7.218,0.074,88.408,4.666,5.57,0.909,0.141,0.248,32.445,0.334,115.262,1.186,0.184,161.606,2400.723,370.761,,68.92,1799.436,,3694.373,0.574,,,7.313,0.075,1.696,1.721,63.34,0.652,11.97,0.123,41.433,0.426,,,359.14,0.52,0.25,0.22,0.52,0.17,0.06,,0.04,0.36,,,0.11,0.36,,167.31,164.87,26.854,30.37
Philippines,2013,PHL,98871552,6.70E+11,7.715,0.078,95.794,7.386,8.35,0.969,0.143,0.25,40.026,0.405,126.451,1.279,0.189,169.321,2496.517,410.786,,75.659,1840.751,,3892.019,0.574,,,6.738,0.068,1.778,1.803,63.97,0.647,12.43,0.126,41.315,0.418,,,384.81,0.54,0.27,0.27,0.52,0.17,0.06,,0.04,0.36,,,0.1,0.36,,178.26,175.79,30.657,32
Philippines,2014,PHL,100513144,7.12E+11,8.155,0.081,101.184,5.39,5.63,1.007,0.142,0.252,42.73,0.425,129.823,1.292,0.183,177.476,2597.701,453.516,,82.745,1883.965,,4025.164,0.569,,,7.086,0.071,1.824,1.849,64.17,0.638,12.96,0.129,43.213,0.43,,,404.582,0.55,0.28,0.28,0.52,0.18,0.06,,0.04,0.36,,,0.11,0.37,,185.86,183.37,28.639,28.3
Philippines,2015,PHL,102113200,7.53E+11,9.206,0.09,112.142,10.958,10.83,1.098,0.149,0.254,46.418,0.455,137.004,1.342,0.182,186.682,2709.844,499.933,,89.406,1933.823,,4342.771,0.589,,,6.661,0.065,1.883,1.908,63.71,0.624,12.65,0.124,49.858,0.488,,,443.454,0.64,0.32,0.32,0.53,0.18,0.07,,0.04,0.36,,,0.1,0.42,,194.8,192.3,24.861,22.17
Philippines,2016,PHL,103663816,8.05E+11,9.569,0.092,122.237,10.095,9,1.179,0.152,0.254,51.487,0.497,143.458,1.384,0.178,196.251,2832.081,551.42,,97.038,1987.372,,4673.253,0.602,,,7.632,0.074,1.976,2.001,63.3,0.611,13.41,0.129,53.549,0.517,,,484.447,0.65,0.34,0.36,0.53,0.18,0.08,,0.04,0.36,,,0.11,0.45,,207.41,204.85,21.221,17.36
Philippines,2017,PHL,105172920,8.59E+11,9.952,0.095,134.902,12.665,10.36,1.283,0.157,0.255,61.632,0.586,153.36,1.458,0.179,206.203,2966.983,613.052,,104.567,2043.16,,5053.689,0.619,,,7.53,0.072,2.102,2.125,65.59,0.624,14.46,0.137,55.788,0.53,,,531.511,0.66,0.38,0.43,0.54,0.19,0.08,,0.05,0.37,,,0.11,0.46,,223.54,221.06,18.458,13.68
Philippines,2018,PHL,106651392,9.12E+11,9.952,0.093,140.658,5.756,4.27,1.319,0.154,0.259,64.902,0.609,159.293,1.494,0.175,216.155,3107.641,677.954,,112.972,2100.559,,5122.826,0.599,,,8.405,0.079,2.128,2.151,65.8,0.617,13.79,0.129,57.399,0.538,,,546.357,0.64,0.38,0.44,0.54,0.19,0.09,,0.05,0.37,,,0.11,0.47,,229.42,226.94,18.635,13.25
