country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_oil_co2,share_global_other_co2,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Brunei,2010,BRN,388634,,,,8.061,0.315,4.07,20.741,,0.19,,,6.509,16.749,,,271.024,,82.219,118.016,70.786,,109158.969,,0.344,0.886,6.126,15.763,23.776,26.992,1.81,4.657,0.14,0.36,1.59,4.092,,,42.423,,0.02,,,0.02,,0.59,0.07,0.01,,0.09,0.1,0.01,,10.49,9.24,-1.552,-19.25
Brunei,2011,BRN,393687,,,,9.545,1.484,18.41,24.244,,0.219,,,7.721,19.611,,,280.568,,82.519,125.303,72.742,,110689.164,,0.3,0.763,7.288,18.511,24.08,24.969,1.86,4.725,0.13,0.33,1.957,4.97,,,43.577,,0.03,,,0.02,,0.58,0.07,0.01,,0.08,0.11,0.02,,9.83,9.48,-1.824,-19.11
Brunei,2012,BRN,398997,,,,9.493,-0.051,-0.54,23.793,,0.224,,,8.33,20.878,,,290.062,,82.834,132.416,74.808,,106168.453,,0.315,0.789,7.113,17.827,23.684,24.562,1.82,4.561,0.15,0.376,2.066,5.177,,,42.361,,0.03,,,0.02,,0.57,0.07,0.02,,0.09,0.11,0.02,,9.8,9.45,-1.163,-12.25
Brunei,2013,BRN,404414,,,,7.628,-1.865,-19.65,18.863,,0.194,,,8.483,20.975,,,297.69,,83.182,138.04,76.464,,97418.609,,0.348,0.861,5.624,13.907,22.848,23.689,1.66,4.105,0.15,0.371,1.656,4.095,,,39.397,,0.02,,,0.02,,0.56,0.07,0.02,,0.09,0.09,0.01,,9.58,9.24,0.854,11.2
Brunei,2014,BRN,409778,,,,8.926,1.297,17,21.781,,0.201,,,9.066,22.123,,,306.616,,83.648,144.811,78.153,,108127.758,,0.465,1.136,6.771,16.524,22.28,23.33,1.68,4.1,0.15,0.366,1.689,4.122,,,44.308,,0.03,,,0.02,,0.55,0.07,0.01,,0.12,0.1,0.01,,9.56,9.13,0.14,1.57
Brunei,2015,BRN,414914,,,,6.954,-1.971,-22.09,16.761,,0.142,,,8.172,19.696,,,313.57,,84.065,149.703,79.798,,118006.609,,0.418,1.007,4.891,11.789,20.221,21.137,1.58,3.808,0.14,0.337,1.645,3.965,,,48.963,,0.02,,,0.02,,0.54,0.07,0.01,,0.11,0.07,0.01,,8.77,8.39,1.218,17.51
Brunei,2016,BRN,419791,,,,7.544,0.59,8.48,17.971,,0.147,,,8.448,20.125,,,321.114,,84.465,155.044,81.602,,121827.531,,0.4,0.952,5.341,12.723,21.511,22.44,1.58,3.764,0.15,0.357,1.804,4.296,,,51.142,,0.02,,,0.02,,0.53,0.07,0.01,,0.1,0.08,0.02,,9.42,9.03,0.904,11.99
Brunei,2017,BRN,424481,,,,9.552,2.008,26.62,22.503,,0.186,,,10.012,23.586,,,330.666,,85.267,161.866,83.529,,120970.172,,0.802,1.89,6.822,16.072,22.38,23.158,1.64,3.864,0.14,0.33,1.927,4.54,,,51.35,,0.03,,,0.02,,0.52,0.07,0.01,,0.19,0.1,0.02,,9.83,9.5,0.46,4.81
Brunei,2018,BRN,428960,,,,9.592,0.04,0.42,22.362,,0.18,,,10.059,23.451,,,340.259,,85.93,168.89,85.434,,124505.18,,0.663,1.546,7.024,16.374,22.869,23.639,1.62,3.777,0.15,0.35,1.905,4.442,,,53.408,,0.03,,,0.02,,0.51,0.07,0.02,,0.16,0.09,0.02,,10.14,9.81,0.467,4.87
Cambodia,2010,KHM,14312205,34988625920,0.37,0.026,5.1,0.543,11.92,0.356,0.146,0.223,0.051,0.004,9.981,0.697,0.285,1.141,60.058,0.524,,,58.393,,1599.824,0.654,,,,,1.946,2.497,20.26,1.416,6.57,0.459,4.679,0.327,,,22.897,0.03,0.02,0,0,0,0,,,0.01,,,,0.04,,35.74,27.85,4.88,95.69
Cambodia,2011,KHM,14541421,36605583360,0.431,0.03,5.194,0.094,1.84,0.357,0.142,0.219,0.059,0.004,11.042,0.759,0.302,1.572,65.252,0.582,,,63.098,,1629.111,0.647,,,,,2.002,6.864,21.73,1.494,7.55,0.519,4.705,0.324,,,23.69,0.03,0.02,0,0.01,0,0,,,0.01,,,,0.04,,99.81,29.11,5.848,112.59
Cambodia,2012,KHM,14780454,39288827904,0.487,0.033,5.451,0.257,4.95,0.369,0.139,0.207,0.062,0.004,10.862,0.735,0.276,2.059,70.704,0.645,,,68,,1785.036,0.672,,,,,1.942,6.634,20.53,1.389,6.63,0.449,4.902,0.332,,,26.384,0.04,0.02,0,0.01,0.01,0,,,0.01,,,,0.04,,98.06,28.71,5.41,99.24
Cambodia,2013,KHM,15026330,42198171648,0.507,0.034,5.578,0.127,2.32,0.371,0.132,0.199,0.205,0.014,12.889,0.858,0.305,2.566,76.282,0.85,,,72.866,,1862.066,0.663,,,,,1.909,6.535,20.46,1.362,6.72,0.447,4.866,0.324,,,27.98,0.04,0.02,0,0.01,0.01,0,,,0.01,,,,0.04,,98.19,28.69,7.311,131.07
Cambodia,2014,KHM,15274506,45181947904,0.51,0.033,6.494,0.916,16.42,0.425,0.144,0.21,0.956,0.063,13.602,0.891,0.301,3.077,82.776,1.806,,,77.893,,2021.086,0.683,,,,,1.928,6.458,19.82,1.298,6.55,0.429,5.027,0.329,,,30.871,0.03,0.02,0.01,0.01,0.01,0,,,0.01,,,,0.04,,98.65,29.45,7.108,109.45
Cambodia,2015,KHM,15521435,48358453248,0.653,0.042,8.527,2.033,31.3,0.549,0.176,0.241,2.317,0.149,14.943,0.963,0.309,3.73,91.302,4.123,,,83.45,,2279.634,0.732,,,,,2.006,6.496,19.95,1.285,7.07,0.455,5.557,0.358,,,35.383,0.05,0.02,0.02,0.01,0.01,0,,,0.02,,,,0.05,,100.83,31.14,6.416,75.25
Cambodia,2016,KHM,15766290,51749834752,1.421,0.09,10.533,2.007,23.54,0.668,0.204,0.239,2.682,0.17,16.01,1.015,0.309,5.151,101.836,6.805,,,89.88,,2797.313,0.852,,,,,2.167,4.281,20.2,1.281,6.64,0.421,6.43,0.408,,,44.103,0.1,0.03,0.02,0.01,0.01,0,,,0.02,,,,0.05,,67.5,34.16,5.477,52
Cambodia,2017,KHM,16009413,55370772480,2.301,0.144,12.875,2.342,22.23,0.804,0.233,0.276,3.986,0.249,17.829,1.114,0.322,7.451,114.71,10.791,,,96.468,,2909.437,0.841,,,,,2.305,4.364,20.48,1.279,6.98,0.436,6.588,0.412,,,46.578,0.15,0.04,0.03,0.02,0.01,0,,,0.02,,,,0.05,,69.86,36.9,4.954,38.48
Cambodia,2018,KHM,16249795,59541852160,3.316,0.204,12.879,0.004,0.03,0.793,0.216,0.219,2.327,0.143,18.033,1.11,0.303,10.767,127.589,13.118,,,103.704,,3617.926,0.987,,,,,2.383,4.333,19.75,1.215,6.24,0.384,7.236,0.445,,,58.791,0.21,0.04,0.02,0.03,0.01,0,,,0.02,,,,0.06,,70.41,38.73,5.154,40.02
Indonesia,2010,IDN,241834224,2.02E+12,19.437,0.08,451.931,49.974,12.43,1.869,0.224,0.254,153.077,0.633,453.822,1.877,0.225,391.94,8826.146,1527.473,366.756,1635.836,4904.143,,7312.89,0.877,10.014,0.041,73.73,0.305,3.179,4.68,276.33,1.143,80.53,0.333,195.674,0.809,,,1768.507,1.56,1.36,1.1,1.39,0.66,0.24,2.65,0.93,1.03,,2.73,1.19,1.73,,1131.73,768.88,1.891,0.42
Indonesia,2011,IDN,245115984,2.15E+12,21.062,0.086,504.762,52.831,11.69,2.059,0.235,0.264,181.281,0.74,505.631,2.063,0.235,413.001,9330.909,1708.754,376.293,1717.389,5115.471,,7689.199,0.877,9.537,0.039,81.553,0.333,3.386,6.867,316.24,1.29,83.9,0.342,211.329,0.862,,,1884.746,1.57,1.46,1.23,1.39,0.68,0.26,2.65,0.94,1.05,,2.69,1.28,1.86,,1683.13,829.89,0.869,0.17
Indonesia,2012,IDN,248451712,2.28E+12,23.272,0.094,521.528,16.766,3.32,2.099,0.229,0.256,187.171,0.753,540.625,2.176,0.237,436.273,9852.437,1895.925,388.538,1797.451,5334.249,,7858.272,0.856,12.245,0.049,80.062,0.322,3.358,6.852,314.93,1.268,86.26,0.347,218.777,0.881,,,1952.401,1.69,1.49,1.25,1.41,0.7,0.28,2.67,0.95,1.07,,3.36,1.23,1.9,,1702.3,834.26,19.097,3.66
Indonesia,2013,IDN,251805312,2.41E+12,24.767,0.098,496.074,-25.453,-4.88,1.97,0.206,0.236,164.219,0.652,520.215,2.066,0.216,461.04,10348.511,2060.144,401.465,1862.205,5563.657,,7477.998,0.782,12.926,0.051,64.753,0.257,3.173,6.507,308,1.223,83.98,0.334,229.408,0.911,,,1883,1.72,1.41,1.09,1.42,0.72,0.3,2.69,0.95,1.09,,3.5,0.99,1.98,,1638.39,799.1,24.141,4.87
Indonesia,2014,IDN,255128080,2.53E+12,25.482,0.1,498.973,2.899,0.58,1.956,0.198,0.256,173.584,0.68,523.09,2.05,0.207,486.522,10847.483,2233.729,418.363,1924.62,5784.25,,7474.077,0.755,16.898,0.066,62.416,0.245,3.309,7.9,391.81,1.536,88.02,0.345,220.593,0.865,,,1906.847,1.71,1.4,1.15,1.43,0.73,0.32,2.73,0.95,1.11,,4.43,0.94,1.9,,2015.5,844.3,24.117,4.83
Indonesia,2015,IDN,258383248,2.65E+12,24.507,0.095,551.475,52.502,10.52,2.134,0.208,0.28,197.815,0.766,570.141,2.207,0.215,511.029,11398.959,2431.543,433.858,2018.872,6003.656,,7528.859,0.734,15.495,0.06,94.252,0.365,3.288,8.003,403.76,1.563,88.89,0.344,219.406,0.849,,,1945.331,1.71,1.55,1.34,1.44,0.75,0.34,2.76,0.97,1.13,,4.16,1.39,1.85,,2067.75,849.51,18.665,3.38
Indonesia,2016,IDN,261556384,2.78E+12,28.71,0.11,560.846,9.371,1.7,2.144,0.201,0.282,206.328,0.789,579.636,2.216,0.208,539.739,11959.806,2637.872,449.338,2110.058,6222.798,,7511.089,0.706,15.48,0.059,91.185,0.349,3.241,5.484,287.13,1.098,88.85,0.34,219.142,0.838,,,1964.573,1.94,1.58,1.44,1.46,0.77,0.36,2.79,0.98,1.14,,3.99,1.31,1.83,,1434.46,847.58,18.79,3.35
Indonesia,2017,IDN,264650976,2.92E+12,32.081,0.121,575.176,14.33,2.56,2.173,0.197,0.277,221.093,0.835,590.179,2.23,0.202,571.82,12534.981,2858.965,460.382,2194.396,6449.419,,7757.208,0.702,11.043,0.042,84.339,0.319,3.376,5.468,283.83,1.072,94.83,0.358,226.62,0.856,,,2052.953,2.14,1.6,1.53,1.49,0.79,0.38,2.79,0.98,1.16,,2.61,1.19,1.87,,1447.22,893.59,15.003,2.61
Indonesia,2018,IDN,267670560,3.08E+12,34.828,0.13,614.884,39.708,6.9,2.297,0.2,0.274,262.222,0.98,625.786,2.338,0.204,606.649,13149.866,3121.187,471.472,2278.544,6672.014,,8504.304,0.74,11.091,0.041,84.147,0.314,3.579,6.323,327.29,1.223,98.37,0.368,222.595,0.832,,,2276.352,2.22,1.68,1.78,1.52,0.81,0.41,2.79,0.99,1.17,,2.69,1.13,1.83,,1692.36,958.08,10.901,1.77
Laos,2010,LAO,6249168,26198018048,0.458,0.073,3.005,0.337,12.64,0.481,0.115,0.103,0.638,0.102,4.4,0.704,0.168,1.913,32.735,2.529,,,28.293,,4680.659,1.117,,,,,1.981,4.585,8.91,1.426,4.64,0.742,1.909,0.306,,,29.25,0.04,0.01,0,0.01,0,0,,,0.01,,,,0.02,,28.65,12.38,1.395,46.43
Laos,2011,LAO,6347564,28505276416,0.492,0.078,3.17,0.166,5.51,0.499,0.111,0.082,0.751,0.118,5.118,0.806,0.179,2.405,35.905,3.28,,,30.22,,6062.158,1.35,,,,,1.909,3.392,7.07,1.114,2.7,0.425,1.927,0.304,,,38.48,0.04,0.01,0.01,0.01,0,0,,,0.01,,,,0.02,,21.53,12.12,1.948,61.44
Laos,2012,LAO,6444527,30756620288,0.566,0.088,3.398,0.228,7.19,0.527,0.111,0.085,0.784,0.122,5.896,0.915,0.192,2.971,39.303,4.064,,,32.268,,6226.069,1.305,,,,,2.033,3.634,8.05,1.249,3.37,0.523,2.048,0.318,,,40.124,0.04,0.01,0.01,0.01,0,0,,,0.01,,,,0.02,,23.42,13.1,2.498,73.52
Laos,2013,LAO,6541302,33213894656,0.824,0.126,4.261,0.863,25.4,0.651,0.128,0.09,1.136,0.174,7.789,1.191,0.235,3.795,43.564,5.2,,,34.569,,7232.09,1.424,,,,,2.148,3.773,8.18,1.251,3.61,0.552,2.301,0.352,,,47.307,0.06,0.01,0.01,0.01,0,0,,,0.01,,,,0.02,,24.68,14.05,3.528,82.79
Laos,2014,LAO,6639763,35727802368,0.84,0.126,4.45,0.189,4.42,0.67,0.124,0.093,1.19,0.179,7.821,1.178,0.219,4.635,48.014,6.389,,,36.989,,7241.466,1.346,,,,,2.169,3.743,8.25,1.243,3.52,0.53,2.42,0.364,,,48.082,0.06,0.01,0.01,0.01,0,0,,,0.01,,,,0.02,,24.85,14.4,3.372,75.77
Laos,2015,LAO,6741160,38423805952,1.183,0.175,9.232,4.783,107.48,1.37,0.24,0.131,5.152,0.764,11.564,1.715,0.301,5.818,57.246,11.541,,,39.887,,10476.904,1.838,,,,,2.857,4.379,8.35,1.239,3.56,0.528,2.898,0.43,,,70.626,0.08,0.03,0.04,0.02,0,0,,,0.01,,,,0.02,,29.52,19.26,2.332,25.26
Laos,2016,LAO,6845848,41124319232,1.3,0.19,14.806,5.573,60.37,2.163,0.36,0.123,10.582,1.546,15.595,2.278,0.379,7.118,72.052,22.123,,,42.811,,17548.062,2.921,,,,,3.878,5.52,9.09,1.328,4.24,0.619,2.924,0.427,,,120.131,0.09,0.04,0.07,0.02,0,0,,,0.01,,,,0.02,,37.79,26.55,0.789,5.33
Laos,2017,LAO,6953031,43945238528,1.503,0.216,18.661,3.856,26.04,2.684,0.425,0.154,14.165,2.037,18.438,2.652,0.42,8.621,90.713,36.288,,,45.805,,17457.094,2.762,,,,,4.287,5.662,8.25,1.187,3.29,0.473,2.993,0.431,,,121.38,0.1,0.05,0.1,0.02,0.01,0,,,0.01,,,,0.02,,39.37,29.81,-0.223,-1.2
Laos,2018,LAO,7061498,46666960896,1.526,0.216,19.524,0.863,4.62,2.765,0.418,0.155,14.949,2.117,19.214,2.721,0.412,10.147,110.237,51.237,,,48.853,,17883.236,2.706,,,,,4.234,5.56,7.94,1.124,3.17,0.449,3.048,0.432,,,126.282,0.1,0.05,0.1,0.03,0.01,0.01,,,0.01,,,,0.03,,39.26,29.9,-0.31,-1.59
Malaysia,2010,MYS,28208028,5.14E+11,7.413,0.263,215.935,15.222,7.58,7.655,0.42,0.232,55.337,1.962,192.083,6.81,0.374,157.811,3595.975,417.341,209.659,974.065,1837.099,,33061.828,1.814,19.002,0.674,60.808,2.156,8.877,13.13,34.63,1.228,13.01,0.461,73.375,2.601,,,932.609,0.59,0.65,0.4,0.56,0.27,0.07,1.51,0.55,0.39,,5.18,0.98,0.65,,370.38,250.39,-23.852,-11.05
Malaysia,2011,MYS,28650962,5.45E+11,8.105,0.283,216.994,1.058,0.49,7.574,0.398,0.225,55.544,1.939,197.058,6.878,0.361,165.916,3812.969,472.884,226.466,1038.85,1908.852,,33118.43,1.74,16.807,0.587,64.784,2.261,8.857,5.108,34.05,1.188,13.22,0.461,71.753,2.504,,,948.875,0.6,0.63,0.38,0.56,0.28,0.07,1.59,0.57,0.39,,4.74,1.02,0.63,,146.34,253.77,-19.935,-9.19
Malaysia,2012,MYS,29068190,5.75E+11,8.505,0.293,215.213,-1.78,-0.82,7.404,0.374,0.208,59.87,2.06,213.027,7.328,0.37,174.421,4028.181,532.754,232.739,1105.139,1983.129,,35711.902,1.805,6.273,0.216,66.289,2.28,8.888,5.105,34.12,1.174,13.52,0.465,74.277,2.555,,,1038.08,0.62,0.62,0.4,0.56,0.29,0.08,1.6,0.59,0.4,,1.72,1.02,0.65,,148.39,258.37,-2.186,-1.02
Malaysia,2013,MYS,29468924,6.02E+11,9.369,0.318,242.487,27.274,12.67,8.229,0.403,0.224,57.989,1.968,242.311,8.223,0.402,183.79,4270.669,590.743,238.382,1187.413,2070.341,,36865.879,1.804,5.642,0.191,82.274,2.792,9.43,5.744,36.17,1.227,12.96,0.44,87.213,2.96,,,1086.398,0.65,0.69,0.39,0.57,0.3,0.09,1.59,0.61,0.41,,1.53,1.26,0.75,,169.28,277.89,-0.177,-0.07
Malaysia,2014,MYS,29866606,6.38E+11,9.857,0.33,244.833,2.345,0.97,8.198,0.384,0.224,57.866,1.938,243.347,8.148,0.381,193.647,4515.501,648.61,244.211,1269.975,2159.059,,36739.633,1.719,5.83,0.195,82.562,2.764,9.804,6.766,41,1.373,13.58,0.455,88.718,2.97,,,1097.288,0.66,0.69,0.38,0.57,0.3,0.09,1.59,0.63,0.41,,1.53,1.24,0.76,,202.09,292.8,-1.485,-0.61
